species,k,alpha,beta,gamma,model_used
Ctenophorus_fordi,0.5,0.8917802047515062,2.693030138440668,0.9586117515592056,Seral
Ctenophorus_pictus,0.5,1.0996443484475913,1.2149663113293248,0.42861427525560575,Seral
Ctenotus_brachyonyx,0.5,0.3059100093227005,1.9320100529173416,0.4005174448290194,Seral
Delma_australis,0.5,0.005745370054869301,3.887313419592,1.0051844328757829,Seral
Delma_butleri,0.5,0.048677931803608146,3.9643291381170784,1.4984064483726072,Seral
Diplodactylus_damaeus,0.5,3.5818343899783223,0.7673864393982,0,Power (Fallback)
Egernia_inornata,0.5,1.6253234889777712,1.8383364715391877,0.668176869002678,Seral
Gehyra_variegata,0.5,0.006797628787294796,2.0482506674627436,0.08931933179942575,Seral
Lerista_punctatovittata,0.5,0.7849730072621139,1.2146035686661139,0.05250939866609389,Seral
Morethia_boulengeri,0.5,0.02971750163241255,1.5549790349208816,0,Power (Fallback)
Rhynchoedura_ornata,0.5,0.3014425164713979,0.7506061995543466,0,Power (Fallback)
Ctenophorus_fordi,0.6,0.6065609570837001,2.392092562879955,0.49798962026172316,Seral
Ctenophorus_pictus,0.6,0.915603345610801,1.0575163091114383,0.2113307519964175,Seral
Ctenotus_brachyonyx,0.6,0.26116465753592144,1.798839711069744,0.20526955341797556,Seral
Delma_australis,0.6,0.004838368309541545,3.4227444159991567,0.48860040494040574,Seral
Delma_butleri,0.6,0.02812861880209718,3.4828605103598473,0.7808857936564401,Seral
Diplodactylus_damaeus,0.6,3.5818343899783223,0.7673864393982,0,Power (Fallback)
Egernia_inornata,0.6,1.2186364396145488,1.6607014479374498,0.3579717540959704,Seral
Gehyra_variegata,0.6,0.0068442425989508875,1.9929133804332073,0.04041059598435672,Seral
Lerista_punctatovittata,0.6,0.7610520441211384,1.209652190067963,0.030592465842304156,Seral
Morethia_boulengeri,0.6,0.02971750163241255,1.5549790349208816,0,Power (Fallback)
Rhynchoedura_ornata,0.6,0.3014425164713979,0.7506061995543466,0,Power (Fallback)
Ctenophorus_fordi,0.7,0.5187702382971078,2.1765497176017354,0.27147283098835884,Seral
Ctenophorus_pictus,0.7,0.8522417374937334,0.9467972347918406,0.10885290955787781,Seral
Ctenotus_brachyonyx,0.7,0.24602136829321905,1.7034561310402432,0.11037259735631942,Seral
Delma_australis,0.7,0.0051403034793662886,3.0932789225300965,0.2503621709451618,Seral
Delma_butleri,0.7,0.023067212367648405,3.139204787907886,0.428331713727776,Seral
Diplodactylus_damaeus,0.7,3.5818343899783223,0.7673864393982,0,Power (Fallback)
Egernia_inornata,0.7,1.065562618586231,1.5328264387496637,0.2010323912100568,Seral
Gehyra_variegata,0.7,0.007028315357202728,1.9539556407475986,0.019232055436368883,Seral
Lerista_punctatovittata,0.7,0.7460191736146067,1.2058816362345595,0.018353057471164943,Seral
Morethia_boulengeri,0.7,0.02971750163241255,1.5549790349208816,0,Power (Fallback)
Rhynchoedura_ornata,0.7,0.3014425164713979,0.7506061995543466,0,Power (Fallback)
Ctenophorus_fordi,0.8,0.4918360105305817,2.0145637710699784,0.15304311194418435,Seral
Ctenophorus_pictus,0.8,0.8323420518038996,0.8655662157667084,0.05775618487085124,Seral
Ctenotus_brachyonyx,0.8,0.2421509488576324,1.631713354328649,0.06136235492935162,Seral
Delma_australis,0.8,0.005931577598054362,2.8479745105882834,0.13319241699318687,Seral
Delma_butleri,0.8,0.022073921113609944,2.881542617840314,0.24361415271042813,Seral
Diplodactylus_damaeus,0.8,3.5818343899783223,0.7673864393982,0,Power (Fallback)
Egernia_inornata,0.8,1.0018734963606433,1.4361176984531907,0.11663814653679966,Seral
Gehyra_variegata,0.8,0.007249482693690985,1.9253266880734592,0.009494656496173516,Seral
Lerista_punctatovittata,0.8,0.7359397938765865,1.2027915269690643,0.011213890499444755,Seral
Morethia_boulengeri,0.8,0.02971750163241255,1.5549790349208816,0,Power (Fallback)
Rhynchoedura_ornata,0.8,0.3014425164713979,0.7506061995543466,0,Power (Fallback)
Ctenophorus_fordi,0.9,0.48964020766711397,1.8884215823987431,0.0884016770826689,Seral
Ctenophorus_pictus,0.9,0.8305672456763699,0.8041712407657527,0.03129811153859951,Seral
Ctenotus_brachyonyx,0.9,0.24329834510500997,1.5757469820183299,0.034949074958484476,Seral
Delma_australis,0.9,0.007014944637437311,2.658556606110497,0.07284902450040825,Seral
Delma_butleri,0.9,0.022682690757673332,2.681107730544071,0.14229268268339026,Seral
Diplodactylus_damaeus,0.9,3.5818343899783223,0.7673864393982,0,Power (Fallback)
Egernia_inornata,0.9,0.9772571848377704,1.3602452125022275,0.0692767870320021,Seral
Gehyra_variegata,0.9,0.007469862518191783,1.903657344596548,0.004821514951257062,Seral
Lerista_punctatovittata,0.9,0.7289210458585248,1.200107597143497,0.0069322898786443295,Seral
Morethia_boulengeri,0.9,0.02971750163241255,1.5549790349208816,0,Power (Fallback)
Rhynchoedura_ornata,0.9,0.3014425164713979,0.7506061995543466,0,Power (Fallback)
Ctenophorus_fordi,1,0.4990422342829279,1.7874816522636259,0.051997978543408506,Seral
Ctenophorus_pictus,1,0.836667265480069,0.7567522750110917,0.017228425372001553,Seral
Ctenotus_brachyonyx,1,0.24684997559514563,1.5308341639353764,0.020266627230292985,Seral
Delma_australis,1,0.008304306206463925,2.5080875403771894,0.040691156803882196,Seral
Delma_butleri,1,0.024086333116561612,2.520659199734533,0.08479974201551325,Seral
Diplodactylus_damaeus,1,3.5818343899783223,0.7673864393982,0,Power (Fallback)
Egernia_inornata,1,0.9719409669583924,1.299009056434605,0.041865103402747406,Seral
Gehyra_variegata,1,0.0076741804686977205,1.8869174942469407,0.0025052935810130432,Seral
Lerista_punctatovittata,1,0.7239499844743547,1.1976684057821567,0.004317472371271399,Seral
Morethia_boulengeri,1,0.02971750163241255,1.5549790349208816,0,Power (Fallback)
Rhynchoedura_ornata,1,0.3014425164713979,0.7506061995543466,0,Power (Fallback)
Ctenophorus_fordi,1.1,0.5142252584885717,1.7049319232223783,0.03101113220412608,Seral
